username,password,firstname,security_q,security_a
jennifer39@yahoo.com , rS;k|9Y1 , jennifer ,What fruit do you like the most?,Milo
Margaret37@outlook.com , (6NI9Mlx , Margaret ,What city were you born in?,Brisbane
Fatima73@msn.com , :<O6Xr(1 , Fatima ,What was the name of your first school?,Blue
Lisa76@rediffmail.com ," 9E""B^paD ", Lisa ,What city were you born in?,Pizza
Elif7@live.com , a[#u9|5} , Elif ,What was the name of your first school?,Civic
Lisa80@outlook.com , ;Oo&aDTN , Lisa ,What is your favourite food?,Pineapple
Emily17@comcast.net , j+X@amzO , Emily ,What was the name of your first school?,Milo
Michael85@hotmail.com , nsB_O({- , Michael ,What is your pet's name?,Brisbane
Zane94@comcast.net , Qe5iMhz| , Zane ,What fruit do you like the most?,Blue
jennifer89@aol.com , \=vg'MNU , jennifer ,What was the name of your first school?,Pizza
Lisa54@comcast.net , **g|KHUk , Lisa ,What fruit do you like the most?,Civic
jennifer16@outlook.com , Rn}NFy`+ , jennifer ,What fruit do you like the most?,Pineapple
david41@msn.com , 83=_92tM , david ,What was the name of your first school?,Milo
Chenguang6@icloud.com , -6R{SM0[ , Chenguang ,What is your pet's name?,Brisbane
Jennifer21@msn.com , $zet1@BJ , Jennifer ,What is your favourite food?,Blue
Adira41@live.com , 4)XDe$:v , Adira ,What city were you born in?,Pizza
Emeka62@gmail.com , 1dipAf3: , Emeka ,What is your favourite colour?,Civic
Kenneth48@comcast.net , rm~Et52p , Kenneth ,What city were you born in?,Pineapple
Dalia65@msn.com , =xiBu$ea , Dalia ,What is your pet's name?,Milo
Xiomara20@aol.com , r*0z\KIS , Xiomara ,What was the name of your first school?,Brisbane
patricia81@outlook.com , ?mX0Ni_2 , patricia ,What was the name of your first school?,Blue
Elif51@comcast.net , l[e.PEto , Elif ,What is your pet's name?,Pizza
patricia77@outlook.com , `KvW!M)t , patricia ,What fruit do you like the most?,Civic
david69@comcast.net , {o`AIHLv , david ,What was the name of your first school?,Pineapple
Zane94@hotmail.com , Eg+R['ua , Zane ,What is your favourite food?,Milo
Edward96@icloud.com , ux{s/v'i , Edward ,What is your favourite colour?,Brisbane
Duha41@rediffmail.com , =Y$o58c{ , Duha ,What is your favourite colour?,Blue
Stephanie34@aol.com , $'Nm&hGx , Stephanie ,What was the name of your first school?,Pizza
Oluchi65@icloud.com , ??]Ct'JS , Oluchi ,What is your favourite colour?,Civic
Wafaa56@msn.com , %$lH~:Ua , Wafaa ,What fruit do you like the most?,Pineapple
Makena6@msn.com , |fqF[++u , Makena ,What is your favourite colour?,Milo
Emily17@hotmail.com , kR]~u%c& , Emily ,What is your pet's name?,Brisbane
Ashley33@gmail.com ," :]""k2MFL ", Ashley ,What fruit do you like the most?,Blue
Xiomara53@hotmail.com , kU:+PHZS , Xiomara ,What fruit do you like the most?,Pizza
John89@outlook.com , 4/D%O;S( , John ,What is your favourite food?,Civic
jennifer16@aol.com , Grk.W~s/ , jennifer ,What fruit do you like the most?,Pineapple
Joseph72@gmail.com , X\gBR4Pi , Joseph ,What was the name of your first school?,Milo
Makena53@outlook.com , /;Wu<AL1 , Makena ,What fruit do you like the most?,Brisbane
charles60@msn.com , dvjh'`GR , charles ,What is your favourite colour?,Blue
Andrew47@comcast.net , ^04)MLa] , Andrew ,What fruit do you like the most?,Pizza
Emily77@aol.com , x1uR5K?J , Emily ,What city were you born in?,Civic
Wafaa69@outlook.com , zi|G4]dp , Wafaa ,What fruit do you like the most?,Pineapple
Duha61@yahoo.com , {?eCADfD , Duha ,What is your favourite food?,Milo
Barbara16@hotmail.com , Xt*]U.mz , Barbara ,What fruit do you like the most?,Brisbane
Susan86@yahoo.com , @:z:`~z0 , Susan ,What city were you born in?,Blue
Thomas98@gmail.com , #EnqyM;C , Thomas ,What is your pet's name?,Pizza
sarah11@comcast.net , \]@fR*Nh , sarah ,What city were you born in?,Civic
Xiaoli74@msn.com , z2_dStaL , Xiaoli ,What is your pet's name?,Pineapple
Kaya22@gmail.com , f(B8S-Bi , Kaya ,What is your pet's name?,Milo
William65@rediffmail.com , &AIuOTkt , William ,What was the name of your first school?,Brisbane
